date,"FinBERT_Score (-1, 1)",Article_Count
2021-12-06,0.04029514326039189,167
2021-12-07,-0.11128260319127269,153
2021-12-08,0.05689764516547513,312
2021-12-09,0.09007521928850436,207
2021-12-10,0.015445905694462083,162
2021-12-11,0.03328107694550505,53
2021-12-12,0.05577647920246377,33
2021-12-13,0.027609358263141082,107
2021-12-14,-0.10690478268334616,146
2021-12-15,-0.17673532184170082,215
2021-12-16,-0.09420351791361879,168
2021-12-17,-0.04897941123843858,112
2021-12-18,-0.07475333782799896,63
2021-12-19,0.007836038103470435,39
2021-12-20,0.07527715238519823,92
2021-12-21,-0.02609960800441711,115
2021-12-22,0.0643704913854599,125
2021-12-23,-0.03668741829893436,121
2021-12-24,-0.41684881401394147,166
2021-12-25,-0.21505297433052745,70
2021-12-26,-0.096584662451948,38
2021-12-27,-0.11295373167883119,92
2021-12-28,-0.13236998717272372,66
2021-12-29,-0.09592035216646212,66
2021-12-30,-0.12201831952136542,70
2021-12-31,-0.13461430191195436,84
2022-01-01,-0.18020029676457247,24
2022-01-02,-0.07845351216383278,32
2022-01-03,-0.002342614309432415,65
2022-01-04,0.019079178979754755,97
2022-01-05,0.005577350193588751,203
2022-01-06,-0.29468569434012365,257
2022-01-07,-0.3255705698915966,196
2022-01-08,-0.1934499593705616,99
2022-01-09,-0.22769839119166135,50
2022-01-10,-0.1739652394483398,112
2022-01-11,-0.09815373288074625,128
2022-01-12,0.038706849499916034,120
2022-01-13,-0.09623145614555027,119
2022-01-14,-0.11817868463603293,203
2022-01-15,-0.2698805681015882,90
2022-01-16,-0.2378658800188339,33
2022-01-17,-0.05540700813476435,848
2022-01-18,-0.09143401621582194,108
2022-01-19,-0.09376460403875737,122
2022-01-20,-0.06424396937852944,213
2022-01-21,-0.12791176213534505,131
2022-01-22,-0.0998582703546739,71
2022-01-23,-0.10193115512007161,38
2022-01-24,-0.3256655825630258,244
2022-01-25,-0.1801273841462047,273
2022-01-26,-0.12743866119232009,179
2022-01-27,-0.02830064871454699,149
2022-01-28,0.1940676112901503,223
2022-01-29,-0.0122956145621304,70
2022-01-30,-0.11044079555070092,29
2022-01-31,-0.05533655332104164,94
2022-02-01,0.06404590234683638,178
2022-02-02,0.0971286720922398,257
2022-02-03,0.09715511875904419,165
2022-02-04,0.0639784581540428,169
2022-02-05,-0.02693518020800854,57
2022-02-06,-0.053763439140792166,53
2022-02-07,-0.1859109163457571,172
2022-02-08,0.0028167041406656304,144
2022-02-09,-0.0363577020431116,146
2022-02-10,-0.06406083514189555,144
2022-02-11,-0.07563528027718089,168
2022-02-12,-0.02503464737180936,59
2022-02-13,-0.14996460426984162,58
2022-02-14,-0.029571080865526154,129
2022-02-15,-0.010244640249565437,154
2022-02-16,-0.0038278618122054506,202
2022-02-17,0.022613849225504103,186
2022-02-18,0.024459663631758936,92
2022-02-19,-0.17456851753377123,64
2022-02-20,0.11742275895980689,26
2022-02-21,-0.021729917355602788,62
2022-02-22,0.07391529489001356,97
2022-02-23,0.009503318858680441,134
2022-02-24,0.04843062476035865,170
2022-02-25,-0.06482845525936903,74
2022-02-26,-0.1384035665425472,40
2022-02-27,-0.32203172262319746,68
2022-02-28,-0.17272172648805434,167
2022-03-01,-0.22936740424859547,124
2022-03-02,-0.18355475286902537,184
2022-03-03,-0.07034338743656747,117
2022-03-04,-0.25873767361880684,156
2022-03-05,-0.015473325908380119,38
2022-03-06,0.0021970960236078986,37
2022-03-07,0.07106477861051207,135
2022-03-08,0.08465897709893899,254
2022-03-09,0.024207038360077943,134
2022-03-10,-0.049007623715425386,169
2022-03-11,-0.17038444638148778,180
2022-03-12,-0.15854349637100862,43
2022-03-13,-0.11392556278802016,34
2022-03-14,-0.1185102358126556,106
2022-03-15,-0.05333709765165563,155
2022-03-16,0.07343370198517792,182
2022-03-17,0.04006222632115349,151
2022-03-18,-0.12444027428350904,136
2022-03-19,-0.3788527930744164,87
2022-03-20,-0.05178907594213692,52
2022-03-21,-0.11937501234043936,157
2022-03-22,-0.12798154587263538,138
2022-03-23,-0.03862477334764746,163
2022-03-24,-0.1131125296703837,188
2022-03-25,-0.01955818285403604,154
2022-03-26,-0.08652673103580517,70
2022-03-27,-0.24987968953477369,37
2022-03-28,0.0029962153148350365,109
2022-03-29,-0.029414737680688117,117
2022-03-30,0.020627065201600393,150
2022-03-31,0.021120265965103444,136
2022-04-01,-0.15716556188328049,104
2022-04-02,-0.18977325686137192,48
2022-04-03,0.020479500834499637,31
2022-04-04,0.052791459424909024,84
2022-04-05,0.04315559634391869,126
2022-04-06,0.017551123385847602,181
2022-04-07,-0.1732551117966068,192
2022-04-08,0.01686061328797081,154
2022-04-09,0.011265194112221237,61
2022-04-10,0.010569943794204542,24
2022-04-11,-0.03905205833597468,109
2022-04-12,-0.04085232827499091,107
2022-04-13,0.13845685182007936,156
2022-04-14,0.08626078529095696,129
2022-04-15,-0.05008962019864056,90
2022-04-16,-0.039308496237058066,29
2022-04-17,0.03237114941002801,40
2022-04-18,0.0983660532384301,92
2022-04-19,0.0693902473344847,135
2022-04-20,0.060269082649680436,134
2022-04-21,-0.048542624266785864,173
2022-04-22,-0.041901496688882676,177
2022-04-23,-0.019951513759830657,96
2022-04-24,-0.17049855957536594,46
2022-04-25,0.02988253404610148,129
2022-04-26,-0.1034739908973279,128
2022-04-27,-0.09868480907705103,194
2022-04-28,-0.0382660911767121,187
2022-04-29,-0.061700672508500844,138
2022-04-30,0.025191370902930277,59
2022-05-01,-0.12638650180117503,37
2022-05-02,-0.08995849048327384,138
2022-05-03,0.006696868195043256,120
2022-05-04,-0.0010135892785193635,142
2022-05-05,0.08287761061629981,173
2022-05-06,0.08043483757871416,114
2022-05-07,-0.07220715914781277,39
2022-05-08,0.07662719559784119,39
2022-05-09,-0.004911154479486868,112
2022-05-10,-0.12791434590507186,165
2022-05-11,0.10752722568521507,523
2022-05-12,0.11734441560987807,395
2022-05-13,0.05652872430923653,166
2022-05-14,-0.047922929748892784,74
2022-05-15,-0.0024181338252894807,33
2022-05-16,0.052876654901293986,109
2022-05-17,0.04008275321019547,140
2022-05-18,-0.08824753832543292,166
2022-05-19,-0.12641414947574958,136
2022-05-20,-0.1122403236070218,130
2022-05-21,-0.04034091757153565,53
2022-05-22,0.0026842299425466495,44
2022-05-23,0.0391460932317938,122
2022-05-24,0.036285143651662854,213
2022-05-25,-0.004845003388596303,165
2022-05-26,-0.11789897478107984,168
2022-05-27,-0.015444116707270344,150
2022-05-28,-0.0025027515771596327,69
2022-05-29,-0.12455105871280156,41
2022-05-30,0.06482153173576119,93
2022-05-31,-0.010674315539545546,107
2022-06-01,0.058589387277606875,128
2022-06-02,-0.048027787959299885,154
2022-06-03,-0.10272505486125846,101
2022-06-04,-0.06868137240987914,58
2022-06-05,-0.14387966737602698,33
2022-06-06,-0.14607856139256958,151
2022-06-07,-0.027885527831727062,87
2022-06-08,0.015084822812042702,87
2022-06-09,0.06564881555933619,132
2022-06-10,-0.1269571833804043,108
2022-06-11,-0.06782674012621018,44
2022-06-12,-0.37014046025874675,61
2022-06-13,-0.2863871789695811,241
2022-06-14,-0.01762108318279406,204
2022-06-15,-0.04309723907126448,117
2022-06-16,0.008645186200737953,135
2022-06-17,-0.12795744965822525,146
2022-06-18,-0.10115726017839696,73
2022-06-19,-0.10669709477877738,49
2022-06-20,-0.013858020027870671,114
2022-06-21,-0.10788104319279747,140
2022-06-22,0.03361331546466623,149
2022-06-23,-0.027071909972035617,134
2022-06-24,-0.16404661610299212,132
2022-06-25,-0.10399582704529166,75
2022-06-26,-0.003227059992597155,46
2022-06-27,-0.09509893917520322,134
2022-06-28,-0.13132014042968232,155
2022-06-29,-0.20894754317671996,191
2022-06-30,-0.08501615096361209,195
2022-07-01,-0.1836878839264608,177
2022-07-02,-0.25875909097323363,99
2022-07-03,-0.23293484505432258,56
2022-07-04,-0.062098339085199246,73
2022-07-05,-0.10336051235480287,107
2022-07-06,9.577304713035885e-07,114
2022-07-07,0.015107246928428318,102
2022-07-08,0.03385259066242725,100
2022-07-09,0.06077187027443539,55
2022-07-10,-0.02866825384452291,23
2022-07-11,-0.041299181641079485,112
2022-07-12,-0.030998244820735776,130
2022-07-13,-0.3057977916726556,156
2022-07-14,-0.07239480961426875,137
2022-07-15,-0.05376008814294832,99
2022-07-16,0.025981376738135897,43
2022-07-17,0.016842495936613817,26
2022-07-18,-0.2119786736972887,145
2022-07-19,-0.16839692084830624,191
2022-07-20,-0.17717129559575984,198
2022-07-21,-0.0017081685756139531,202
2022-07-22,-0.11485146737329102,173
2022-07-23,-0.2466613006555911,109
2022-07-24,-0.2181889787875116,75
2022-07-25,-0.20559691522684362,225
2022-07-26,-0.017085667886825466,189
2022-07-27,0.024824451241403114,296
